Crime_rate,Industry,Number_of_rooms,Access_to_highways,Tax_rate,Price
0.00632,2.31,6.575,1,296,24
0.02731,7.07,6.421,2,242,21.6
0.02729,7.07,7.185,2,242,34.7
0.03237,2.18,6.998,3,222,33.4
0.06905,2.18,7.147,3,222,36.2
0.02985,2.18,6.43,3,222,28.7
0.08829,7.87,6.012,5,311,22.9
0.14455,7.87,6.172,5,311,27.1
0.21124,7.87,5.631,5,311,16.5
0.17004,7.87,6.004,5,311,18.9
0.22489,7.87,6.377,5,311,15
0.11747,7.87,6.009,5,311,18.9
0.09378,7.87,5.889,5,311,21.7
0.62976,8.14,5.949,4,307,20.4
0.63796,8.14,6.096,4,307,18.2
0.62739,8.14,5.834,4,307,19.9
1.05393,8.14,5.935,4,307,23.1
0.7842,8.14,5.99,4,307,17.5
0.80271,8.14,5.456,4,307,20.2
0.7258,8.14,5.727,4,307,18.2
1.25179,8.14,5.57,4,307,13.6
0.85204,8.14,5.965,4,307,19.6
1.23247,8.14,6.142,4,307,15.2
0.98843,8.14,5.813,4,307,14.5
0.75026,8.14,5.924,4,307,15.6
0.84054,8.14,5.599,4,307,13.9
0.67191,8.14,5.813,4,307,16.6
0.95577,8.14,6.047,4,307,14.8
0.77299,8.14,6.495,4,307,18.4
1.00245,8.14,6.674,4,307,21
1.13081,8.14,5.713,4,307,12.7
1.35472,8.14,6.072,4,307,14.5
1.38799,8.14,5.95,4,307,13.2
1.15172,8.14,5.701,4,307,13.1
1.61282,8.14,6.096,4,307,13.5
0.06417,5.96,5.933,5,279,18.9
0.09744,5.96,5.841,5,279,20
0.08014,5.96,5.85,5,279,21
0.17505,5.96,5.966,5,279,24.7
0.02763,2.95,6.595,3,252,30.8
0.03359,2.95,7.024,3,252,34.9
0.12744,6.91,6.77,3,233,26.6
0.1415,6.91,6.169,3,233,25.3
0.15936,6.91,6.211,3,233,24.7
0.12269,6.91,6.069,3,233,21.2
0.17142,6.91,5.682,3,233,19.3
0.18836,6.91,5.786,3,233,20
0.22927,6.91,6.03,3,233,16.6
0.25387,6.91,5.399,3,233,14.4
0.21977,6.91,5.602,3,233,19.4
0.08873,5.64,5.963,4,243,19.7
0.04337,5.64,6.115,4,243,20.5
0.0536,5.64,6.511,4,243,25
0.04981,5.64,5.998,4,243,23.4
0.0136,4,5.888,3,469,18.9
0.01311,1.22,7.249,5,226,35.4
0.02055,0.74,6.383,2,313,24.7
0.01432,1.32,6.816,5,256,31.6
0.15445,5.13,6.145,8,284,23.3
0.10328,5.13,5.927,8,284,19.6
0.14932,5.13,5.741,8,284,18.7
0.17171,5.13,5.966,8,284,16
0.11027,5.13,6.456,8,284,22.2
0.1265,5.13,6.762,8,284,25
0.01951,1.38,7.104,3,216,33
0.03584,3.37,6.29,4,337,23.5
0.04379,3.37,5.787,4,337,19.4
0.05789,6.07,5.878,4,345,22
0.13554,6.07,5.594,4,345,17.4
0.12816,6.07,5.885,4,345,20.9
0.08826,10.81,6.417,4,305,24.2
0.15876,10.81,5.961,4,305,21.7
0.09164,10.81,6.065,4,305,22.8
0.19539,10.81,6.245,4,305,23.4
0.07896,12.83,6.273,5,398,24.1
0.09512,12.83,6.286,5,398,21.4
0.10153,12.83,6.279,5,398,20
0.08707,12.83,6.14,5,398,20.8
0.05646,12.83,6.232,5,398,21.2
0.08387,12.83,5.874,5,398,20.3
0.04113,4.86,6.727,4,281,28
0.04462,4.86,6.619,4,281,23.9
0.03659,4.86,6.302,4,281,24.8
0.03551,4.86,6.167,4,281,22.9
0.05059,4.49,6.389,3,247,23.9
0.05735,4.49,6.63,3,247,26.6
0.05188,4.49,6.015,3,247,22.5
0.07151,4.49,6.121,3,247,22.2
0.0566,3.41,7.007,2,270,23.6
0.05302,3.41,7.079,2,270,28.7
0.04684,3.41,6.417,2,270,22.6
0.03932,3.41,6.405,2,270,22
0.04203,15.04,6.442,4,270,22.9
0.02875,15.04,6.211,4,270,25
0.04294,15.04,6.249,4,270,20.6
0.12204,2.89,6.625,2,276,28.4
0.11504,2.89,6.163,2,276,21.4
0.12083,2.89,8.069,2,276,38.7
0.08187,2.89,7.82,2,276,43.8
0.0686,2.89,7.416,2,276,33.2
0.14866,8.56,6.727,5,384,27.5
0.11432,8.56,6.781,5,384,26.5
0.22876,8.56,6.405,5,384,18.6
0.21161,8.56,6.137,5,384,19.3
0.1396,8.56,6.167,5,384,20.1
0.13262,8.56,5.851,5,384,19.5
0.1712,8.56,5.836,5,384,19.5
0.13117,8.56,6.127,5,384,20.4
0.12802,8.56,6.474,5,384,19.8
0.26363,8.56,6.229,5,384,19.4
0.10793,8.56,6.195,5,384,21.7
0.10084,10.01,6.715,6,432,22.8
0.12329,10.01,5.913,6,432,18.8
0.22212,10.01,6.092,6,432,18.7
0.14231,10.01,6.254,6,432,18.5
0.17134,10.01,5.928,6,432,18.3
0.13158,10.01,6.176,6,432,21.2
0.15098,10.01,6.021,6,432,19.2
0.13058,10.01,5.872,6,432,20.4
0.14476,10.01,5.731,6,432,19.3
0.06899,25.65,5.87,2,188,22
0.07165,25.65,6.004,2,188,20.3
0.09299,25.65,5.961,2,188,20.5
0.15038,25.65,5.856,2,188,17.3
0.09849,25.65,5.879,2,188,18.8
0.16902,25.65,5.986,2,188,21.4
0.38735,25.65,5.613,2,188,15.7
0.25915,21.89,5.693,4,437,16.2
0.32543,21.89,6.431,4,437,18
0.88125,21.89,5.637,4,437,14.3
0.34006,21.89,6.458,4,437,19.2
1.19294,21.89,6.326,4,437,19.6
0.59005,21.89,6.372,4,437,23
0.32982,21.89,5.822,4,437,18.4
0.97617,21.89,5.757,4,437,15.6
0.55778,21.89,6.335,4,437,18.1
0.32264,21.89,5.942,4,437,17.4
0.35233,21.89,6.454,4,437,17.1
0.2498,21.89,5.857,4,437,13.3
0.54452,21.89,6.151,4,437,17.8
0.2909,21.89,6.174,4,437,14
1.62864,21.89,5.019,4,437,14.4
3.32105,19.58,5.403,5,403,13.4
4.0974,19.58,5.468,5,403,15.6
2.77974,19.58,4.903,5,403,11.8
2.37934,19.58,6.13,5,403,13.8
2.15505,19.58,5.628,5,403,15.6
2.36862,19.58,4.926,5,403,14.6
2.33099,19.58,5.186,5,403,17.8
2.73397,19.58,5.597,5,403,15.4
1.6566,19.58,6.122,5,403,21.5
1.49632,19.58,5.404,5,403,19.6
1.12658,19.58,5.012,5,403,15.3
2.14918,19.58,5.709,5,403,19.4
1.41385,19.58,6.129,5,403,17
3.53501,19.58,6.152,5,403,15.6
2.44668,19.58,5.272,5,403,13.1
1.22358,19.58,6.943,5,403,41.3
1.34284,19.58,6.066,5,403,24.3
1.42502,19.58,6.51,5,403,23.3
1.27346,19.58,6.25,5,403,27
1.46336,19.58,7.489,5,403,50
1.83377,19.58,7.802,5,403,50
1.51902,19.58,8.375,5,403,50
2.24236,19.58,5.854,5,403,22.7
2.924,19.58,6.101,5,403,25
2.01019,19.58,7.929,5,403,50
1.80028,19.58,5.877,5,403,23.8
2.3004,19.58,6.319,5,403,23.8
2.44953,19.58,6.402,5,403,22.3
1.20742,19.58,5.875,5,403,17.4
2.3139,19.58,5.88,5,403,19.1
0.13914,4.05,5.572,5,296,23.1
0.09178,4.05,6.416,5,296,23.6
0.08447,4.05,5.859,5,296,22.6
0.06664,4.05,6.546,5,296,29.4
0.07022,4.05,6.02,5,296,23.2
0.05425,4.05,6.315,5,296,24.6
0.06642,4.05,6.86,5,296,29.9
0.0578,2.46,6.98,3,193,37.2
0.06588,2.46,7.765,3,193,39.8
0.06888,2.46,6.144,3,193,36.2
0.09103,2.46,7.155,3,193,37.9
0.10008,2.46,6.563,3,193,32.5
0.08308,2.46,5.604,3,193,26.4
0.06047,2.46,6.153,3,193,29.6
0.05602,2.46,7.831,3,193,50
0.07875,3.44,6.782,5,398,32
0.12579,3.44,6.556,5,398,29.8
0.0837,3.44,7.185,5,398,34.9
0.09068,3.44,6.951,5,398,37
0.06911,3.44,6.739,5,398,30.5
0.08664,3.44,7.178,5,398,36.4
0.02187,2.93,6.8,1,265,31.1
0.01439,2.93,6.604,1,265,29.1
0.01381,0.46,7.875,4,255,50
0.04011,1.52,7.287,2,329,33.3
0.04666,1.52,7.107,2,329,30.3
0.03768,1.52,7.274,2,329,34.6
0.0315,1.47,6.975,3,402,34.9
0.01778,1.47,7.135,3,402,32.9
0.03445,2.03,6.162,2,348,24.1
0.02177,2.03,7.61,2,348,42.3
0.0351,2.68,7.853,4,224,48.5
0.02009,2.68,8.034,4,224,50
0.13642,10.59,5.891,4,277,22.6
0.22969,10.59,6.326,4,277,24.4
0.25199,10.59,5.783,4,277,22.5
0.13587,10.59,6.064,4,277,24.4
0.43571,10.59,5.344,4,277,20
0.17446,10.59,5.96,4,277,21.7
0.37578,10.59,5.404,4,277,19.3
0.21719,10.59,5.807,4,277,22.4
0.14052,10.59,6.375,4,277,28.1
0.28955,10.59,5.412,4,277,23.7
0.19802,10.59,6.182,4,277,25
0.0456,13.89,5.888,5,276,23.3
0.07013,13.89,6.642,5,276,28.7
0.11069,13.89,5.951,5,276,21.5
0.11425,13.89,6.373,5,276,23
0.35809,6.2,6.951,8,307,26.7
0.40771,6.2,6.164,8,307,21.7
0.62356,6.2,6.879,8,307,27.5
0.6147,6.2,6.618,8,307,30.1
0.31533,6.2,8.266,8,307,44.8
0.52693,6.2,8.725,8,307,50
0.38214,6.2,8.04,8,307,37.6
0.41238,6.2,7.163,8,307,31.6
0.29819,6.2,7.686,8,307,46.7
0.44178,6.2,6.552,8,307,31.5
0.537,6.2,5.981,8,307,24.3
0.46296,6.2,7.412,8,307,31.7
0.57529,6.2,8.337,8,307,41.7
0.33147,6.2,8.247,8,307,48.3
0.44791,6.2,6.726,8,307,29
0.33045,6.2,6.086,8,307,24
0.52058,6.2,6.631,8,307,25.1
0.51183,6.2,7.358,8,307,31.5
0.08244,4.93,6.481,6,300,23.7
0.09252,4.93,6.606,6,300,23.3
0.11329,4.93,6.897,6,300,22
0.10612,4.93,6.095,6,300,20.1
0.1029,4.93,6.358,6,300,22.2
0.12757,4.93,6.393,6,300,23.7
0.20608,5.86,5.593,7,330,17.6
0.19133,5.86,5.605,7,330,18.5
0.33983,5.86,6.108,7,330,24.3
0.19657,5.86,6.226,7,330,20.5
0.16439,5.86,6.433,7,330,24.5
0.19073,5.86,6.718,7,330,26.2
0.1403,5.86,6.487,7,330,24.4
0.21409,5.86,6.438,7,330,24.8
0.08221,5.86,6.957,7,330,29.6
0.36894,5.86,8.259,7,330,42.8
0.04819,3.64,6.108,1,315,21.9
0.03548,3.64,5.876,1,315,20.9
0.01538,3.75,7.454,3,244,44
0.61154,3.97,8.704,5,264,50
0.66351,3.97,7.333,5,264,36
0.65665,3.97,6.842,5,264,30.1
0.54011,3.97,7.203,5,264,33.8
0.53412,3.97,7.52,5,264,43.1
0.52014,3.97,8.398,5,264,48.8
0.82526,3.97,7.327,5,264,31
0.55007,3.97,7.206,5,264,36.5
0.76162,3.97,5.56,5,264,22.8
0.7857,3.97,7.014,5,264,30.7
0.57834,3.97,8.297,5,264,50
0.5405,3.97,7.47,5,264,43.5
0.09065,6.96,5.92,3,223,20.7
0.29916,6.96,5.856,3,223,21.1
0.16211,6.96,6.24,3,223,25.2
0.1146,6.96,6.538,3,223,24.4
0.22188,6.96,7.691,3,223,35.2
0.05644,6.41,6.758,4,254,32.4
0.09604,6.41,6.854,4,254,32
0.10469,6.41,7.267,4,254,33.2
0.06127,6.41,6.826,4,254,33.1
0.07978,6.41,6.482,4,254,29.1
0.21038,3.33,6.812,5,216,35.1
0.03578,3.33,7.82,5,216,45.4
0.03705,3.33,6.968,5,216,35.4
0.06129,3.33,7.645,5,216,46
0.01501,1.21,7.923,1,198,50
0.00906,2.97,7.088,1,285,32.2
0.01096,2.25,6.453,1,300,22
0.01965,1.76,6.23,1,241,20.1
0.03871,5.32,6.209,6,293,23.2
0.0459,5.32,6.315,6,293,22.3
0.04297,5.32,6.565,6,293,24.8
0.03502,4.95,6.861,4,245,28.5
0.07886,4.95,7.148,4,245,37.3
0.03615,4.95,6.63,4,245,27.9
0.08265,13.92,6.127,4,289,23.9
0.08199,13.92,6.009,4,289,21.7
0.12932,13.92,6.678,4,289,28.6
0.05372,13.92,6.549,4,289,27.1
0.14103,13.92,5.79,4,289,20.3
0.06466,2.24,6.345,5,358,22.5
0.05561,2.24,7.041,5,358,29
0.04417,2.24,6.871,5,358,24.8
0.03537,6.09,6.59,7,329,22
0.09266,6.09,6.495,7,329,26.4
0.1,6.09,6.982,7,329,33.1
0.05515,2.18,7.236,7,222,36.1
0.05479,2.18,6.616,7,222,28.4
0.07503,2.18,7.42,7,222,33.4
0.04932,2.18,6.849,7,222,28.2
0.49298,9.9,6.635,4,304,22.8
0.3494,9.9,5.972,4,304,20.3
2.63548,9.9,4.973,4,304,16.1
0.79041,9.9,6.122,4,304,22.1
0.26169,9.9,6.023,4,304,19.4
0.26938,9.9,6.266,4,304,21.6
0.3692,9.9,6.567,4,304,23.8
0.25356,9.9,5.705,4,304,16.2
0.31827,9.9,5.914,4,304,17.8
0.24522,9.9,5.782,4,304,19.8
0.40202,9.9,6.382,4,304,23.1
0.47547,9.9,6.113,4,304,21
0.1676,7.38,6.426,5,287,23.8
0.18159,7.38,6.376,5,287,23.1
0.35114,7.38,6.041,5,287,20.4
0.28392,7.38,5.708,5,287,18.5
0.34109,7.38,6.415,5,287,25
0.19186,7.38,6.431,5,287,24.6
0.30347,7.38,6.312,5,287,23
0.24103,7.38,6.083,5,287,22.2
0.06617,3.24,5.868,4,430,19.3
0.06724,3.24,6.333,4,430,22.6
0.04544,3.24,6.144,4,430,19.8
0.05023,6.06,5.706,1,304,17.1
0.03466,6.06,6.031,1,304,19.4
0.05083,5.19,6.316,5,224,22.2
0.03738,5.19,6.31,5,224,20.7
0.03961,5.19,6.037,5,224,21.1
0.03427,5.19,5.869,5,224,19.5
0.03041,5.19,5.895,5,224,18.5
0.03306,5.19,6.059,5,224,20.6
0.05497,5.19,5.985,5,224,19
0.06151,5.19,5.968,5,224,18.7
0.01301,1.52,7.241,1,284,32.7
0.02498,1.89,6.54,1,422,16.5
0.02543,3.78,6.696,5,370,23.9
0.03049,3.78,6.874,5,370,31.2
0.03113,4.39,6.014,3,352,17.5
0.06162,4.39,5.898,3,352,17.2
0.0187,4.15,6.516,4,351,23.1
0.01501,2.01,6.635,4,280,24.5
0.02899,1.25,6.939,1,335,26.6
0.06211,1.25,6.49,1,335,22.9
0.0795,1.69,6.579,4,411,24.1
0.07244,1.69,5.884,4,411,18.6
0.01709,2.02,6.728,5,187,30.1
0.04301,1.91,5.663,4,334,18.2
0.10659,1.91,5.936,4,334,20.6
8.98296,18.1,6.212,24,666,17.8
3.8497,18.1,6.395,24,666,21.7
5.20177,18.1,6.127,24,666,22.7
4.26131,18.1,6.112,24,666,22.6
4.54192,18.1,6.398,24,666,25
3.83684,18.1,6.251,24,666,19.9
3.67822,18.1,5.362,24,666,20.8
4.22239,18.1,5.803,24,666,16.8
3.47428,18.1,8.78,24,666,21.9
4.55587,18.1,3.561,24,666,27.5
3.69695,18.1,4.963,24,666,21.9
13.5222,18.1,3.863,24,666,23.1
4.89822,18.1,4.97,24,666,50
5.66998,18.1,6.683,24,666,50
6.53876,18.1,7.016,24,666,50
9.2323,18.1,6.216,24,666,50
8.26725,18.1,5.875,24,666,50
11.1081,18.1,4.906,24,666,13.8
18.4982,18.1,4.138,24,666,13.8
19.6091,18.1,7.313,24,666,15
15.288,18.1,6.649,24,666,13.9
9.82349,18.1,6.794,24,666,13.3
23.6482,18.1,6.38,24,666,13.1
17.8667,18.1,6.223,24,666,10.2
88.9762,18.1,6.968,24,666,10.4
15.8744,18.1,6.545,24,666,10.9
9.18702,18.1,5.536,24,666,11.3
7.99248,18.1,5.52,24,666,12.3
20.0849,18.1,4.368,24,666,8.8
16.8118,18.1,5.277,24,666,7.2
24.3938,18.1,4.652,24,666,10.5
22.5971,18.1,5,24,666,7.4
14.3337,18.1,4.88,24,666,10.2
8.15174,18.1,5.39,24,666,11.5
6.96215,18.1,5.713,24,666,15.1
5.29305,18.1,6.051,24,666,23.2
11.5779,18.1,5.036,24,666,9.7
8.64476,18.1,6.193,24,666,13.8
13.3598,18.1,5.887,24,666,12.7
8.71675,18.1,6.471,24,666,13.1
5.87205,18.1,6.405,24,666,12.5
7.67202,18.1,5.747,24,666,8.5
38.3518,18.1,5.453,24,666,5
9.91655,18.1,5.852,24,666,6.3
25.0461,18.1,5.987,24,666,5.6
14.2362,18.1,6.343,24,666,7.2
9.59571,18.1,6.404,24,666,12.1
24.8017,18.1,5.349,24,666,8.3
41.5292,18.1,5.531,24,666,8.5
67.9208,18.1,5.683,24,666,5
20.7162,18.1,4.138,24,666,11.9
11.9511,18.1,5.608,24,666,27.9
7.40389,18.1,5.617,24,666,17.2
14.4383,18.1,6.852,24,666,27.5
51.1358,18.1,5.757,24,666,15
14.0507,18.1,6.657,24,666,17.2
18.811,18.1,4.628,24,666,17.9
28.6558,18.1,5.155,24,666,16.3
45.7461,18.1,4.519,24,666,7
18.0846,18.1,6.434,24,666,7.2
10.8342,18.1,6.782,24,666,7.5
25.9406,18.1,5.304,24,666,10.4
73.5341,18.1,5.957,24,666,8.8
11.8123,18.1,6.824,24,666,8.4
11.0874,18.1,6.411,24,666,16.7
7.02259,18.1,6.006,24,666,14.2
12.0482,18.1,5.648,24,666,20.8
7.05042,18.1,6.103,24,666,13.4
8.79212,18.1,5.565,24,666,11.7
15.8603,18.1,5.896,24,666,8.3
12.2472,18.1,5.837,24,666,10.2
37.6619,18.1,6.202,24,666,10.9
7.36711,18.1,6.193,24,666,11
9.33889,18.1,6.38,24,666,9.5
8.49213,18.1,6.348,24,666,14.5
10.0623,18.1,6.833,24,666,14.1
6.44405,18.1,6.425,24,666,16.1
5.58107,18.1,6.436,24,666,14.3
13.9134,18.1,6.208,24,666,11.7
11.1604,18.1,6.629,24,666,13.4
14.4208,18.1,6.461,24,666,9.6
15.1772,18.1,6.152,24,666,8.7
13.6781,18.1,5.935,24,666,8.4
9.39063,18.1,5.627,24,666,12.8
22.0511,18.1,5.818,24,666,10.5
9.72418,18.1,6.406,24,666,17.1
5.66637,18.1,6.219,24,666,18.4
9.96654,18.1,6.485,24,666,15.4
12.8023,18.1,5.854,24,666,10.8
10.6718,18.1,6.459,24,666,11.8
6.28807,18.1,6.341,24,666,14.9
9.92485,18.1,6.251,24,666,12.6
9.32909,18.1,6.185,24,666,14.1
7.52601,18.1,6.417,24,666,13
6.71772,18.1,6.749,24,666,13.4
5.44114,18.1,6.655,24,666,15.2
5.09017,18.1,6.297,24,666,16.1
8.24809,18.1,7.393,24,666,17.8
9.51363,18.1,6.728,24,666,14.9
4.75237,18.1,6.525,24,666,14.1
4.66883,18.1,5.976,24,666,12.7
8.20058,18.1,5.936,24,666,13.5
7.75223,18.1,6.301,24,666,14.9
6.80117,18.1,6.081,24,666,20
4.81213,18.1,6.701,24,666,16.4
3.69311,18.1,6.376,24,666,17.7
6.65492,18.1,6.317,24,666,19.5
5.82115,18.1,6.513,24,666,20.2
7.83932,18.1,6.209,24,666,21.4
3.1636,18.1,5.759,24,666,19.9
3.77498,18.1,5.952,24,666,19
4.42228,18.1,6.003,24,666,19.1
15.5757,18.1,5.926,24,666,19.1
13.0751,18.1,5.713,24,666,20.1
4.34879,18.1,6.167,24,666,19.9
4.03841,18.1,6.229,24,666,19.6
3.56868,18.1,6.437,24,666,23.2
4.64689,18.1,6.98,24,666,29.8
8.05579,18.1,5.427,24,666,13.8
6.39312,18.1,6.162,24,666,13.3
4.87141,18.1,6.484,24,666,16.7
15.0234,18.1,5.304,24,666,12
10.233,18.1,6.185,24,666,14.6
14.3337,18.1,6.229,24,666,21.4
5.82401,18.1,6.242,24,666,23
5.70818,18.1,6.75,24,666,23.7
5.73116,18.1,7.061,24,666,25
2.81838,18.1,5.762,24,666,21.8
2.37857,18.1,5.871,24,666,20.6
3.67367,18.1,6.312,24,666,21.2
5.69175,18.1,6.114,24,666,19.1
4.83567,18.1,5.905,24,666,20.6
0.15086,27.74,5.454,4,711,15.2
0.18337,27.74,5.414,4,711,7
0.20746,27.74,5.093,4,711,8.1
0.10574,27.74,5.983,4,711,13.6
0.11132,27.74,5.983,4,711,20.1
0.17331,9.69,5.707,6,391,21.8
0.27957,9.69,5.926,6,391,24.5
0.17899,9.69,5.67,6,391,23.1
0.2896,9.69,5.39,6,391,19.7
0.26838,9.69,5.794,6,391,18.3
0.23912,9.69,6.019,6,391,21.2
0.17783,9.69,5.569,6,391,17.5
0.22438,9.69,6.027,6,391,16.8
0.06263,11.93,6.593,1,273,22.4
0.04527,11.93,6.12,1,273,20.6
0.06076,11.93,6.976,1,273,23.9
0.10959,11.93,6.794,1,273,22
0.04741,11.93,6.03,1,273,11.9
